,0
0,10.1016/j.watres.2018.01.037
1,10.1016/j.jclepro.2018.01.239
2,10.1016/j.jclepro.2017.12.266
3,10.1016/j.agwat.2018.01.007
4,10.1016/j.ecoser.2017.12.010
5,10.1007/s11356-017-1149-x
6,10.3390/w10010002
7,10.1088/1755-1315/95/4/042017
8,10.1016/j.jenvman.2017.08.044
9,10.5004/dwt.2017.21552
10,10.1007/s11269-017-1780-9
11,10.1007/s11273-017-9546-y
12,10.1049/iet-rpg.2017.0407
13,10.1016/j.livsci.2017.09.019
14,10.3390/su9111933
15,10.1109/TENCONSpring.2017.8070075
16,10.1080/10042857.2017.1406744
17,10.1007/s10661-017-6219-5
18,10.1007/s11269-017-1748-9
19,10.2166/washdev.2017.003
20,10.14505/jemt.v8.6(22).13
21,10.2134/agronj2017.03.0140
22,10.1007/s10708-017-9808-5
23,10.1080/1573062X.2016.1240808
24,10.5004/dwt.2017.21338
25,10.1002/2016WR020281
26,10.1016/j.ecoser.2017.06.004
27,10.1016/j.seta.2017.02.005
28,10.3390/w9070533
29,10.14456/ennrj.2017.14
30,10.1088/1757-899X/210/1/012024
31,10.1016/S0262-1762(17)30173-6
32,10.21162/PAKJAS/17.4860
33,10.1016/j.algal.2017.04.002
34,10.1051/e3sconf/20171700062
35,10.1080/1573062X.2016.1175484
36,10.1016/j.wre.2017.02.002
37,10.1016/j.jclepro.2017.02.051
38,10.1093/ajae/aaw075
39,10.11113/jt.v79.9874
40,10.1016/j.eiar.2016.12.005
41,10.1166/asl.2017.8645
42,10.1007/s10640-016-0103-6
43,10.1016/j.jclepro.2016.12.056
44,10.1002/9781119220589.ch24
45,10.1080/1573062X.2015.1057181
46,10.3390/w9010026
47,10.1016/j.proeng.2017.03.204
48,10.1016/j.proeng.2017.03.203
49,10.1007/978-3-319-52171-8_8
50,10.1007/s11269-016-1519-z
51,10.1061/9780784480632.015
52,10.1016/j.biortech.2017.05.097
53,10.1007/s11356-016-7891-7
54,10.4337/9781786432421.00013
55,10.1061/9780784480885.021
56,10.5593/sgem2017/14/S06.090
57,10.1371/journal.pmed.1002283
58,10.3303/CET1756002
59,10.1007/978-981-10-3084-0
60,10.1016/j.apenergy.2016.05.033
61,10.1016/j.jup.2016.04.016
62,10.2166/washdev.2016.157
63,10.1007/s11269-016-1503-7
64,10.1016/j.jrurstud.2016.07.026
65,10.1590/1806-9061-2015-0079
66,10.1016/j.cropro.2016.06.012
67,10.1016/j.foodpol.2016.09.002
68,10.1109/EESMS.2016.7504814
69,10.1016/j.scitotenv.2016.03.004
70,10.1007/s11625-016-0371-7
71,10.1080/15435075.2016.1161631
72,10.2166/ws.2015.181
73,10.2166/wp.2015.127
74,10.1088/1742-6596/693/1/012007
75,10.5942/jawwa.2016.108.0026
76,10.2166/wp.2015.301
77,10.1080/19443994.2015.1067169
78,10.1080/19443994.2015.1048537
79,10.1080/19443994.2015.1049967
80,10.1016/j.proeng.2016.07.426
81,10.1016/j.proeng.2016.11.101
82,10.1016/j.proeng.2016.11.100
83,10.1061/9780784479957.159
84,10.11113/jt.v78.8312
85,10.1051/lhb/2016062
86,10.1155/2016/7438913
87,10.11113/jt.v78.8232
88,10.1007/978-3-319-39259-2_20
89,10.1016/j.hal.2015.11.008
90,10.3303/CET1652197
91,10.2166/wpt.2016.004
92,10.1007/978-3-319-18947-5_20
93,10.5846/stxb201504140755
94,10.1287/mksc.2015.0932
95,10.1016/j.jup.2015.07.005
96,10.1007/978-3-319-18287-2_4
97,10.1007/s12205-014-0570-7
98,10.1007/s10661-015-4739-4
99,10.1007/978-3-319-18947-5_20
100,10.1007/s12403-014-0113-y
101,10.1007/s12403-014-0111-0
102,10.1016/j.flowmeasinst.2014.10.010
103,10.1061/9780784479360.112
104,10.2166/wp.2014.304
105,10.1080/19443994.2014.934119
106,10.1007/978-3-319-09507-3_90
107,10.1061/9780784479162.130
108,10.2166/wpt.2015.007
109,10.1080/20421338.2015.1081762
110,10.1016/j.proeng.2015.08.862
111,10.1016/j.proeng.2015.08.944l
112,10.1016/j.proeng.2015.08.847
113,10.1080/19443994.2014.934114
114,10.1080/19443994.2014.934111
115,10.5942/jawwa.2015.107.0154
116,10.1016/j.proeng.2015.08.465
117,10.1016/j.enpol.2015.01.033
118,10.1080/1573062X.2014.923473
119,10.1080/1573062X.2013.847463
120,10.1016/j.wre.2014.11.002
121,10.1177/1087724X14558269
122,10.1061/9780784479360.085
123,10.4194/1303-2712-v15_4_06
124,10.5901/mjss.2015.v6n1p285
125,10.1016/j.marpolbul.2015.09.018
126,10.1002/9781118568262.ch9
127,10.3390/d7030242
128,10.1016/j.applthermaleng.2013.10.051
129,10.1016/j.enpol.2013.10.061
130,10.1016/j.landurbplan.2013.11.008
131,10.2166/wpt.2014.056
132,10.1002/clen.201300138
133,10.1016/j.proeng.2014.11.530
134,10.1016/j.proeng.2014.11.460
135,10.1007/s11269-013-0508-8
136,10.1007/s12205-014-0306-8
137,10.2166/ws.2014.016
138,10.1080/1573062X.2013.806563
139,10.1002/bse.1782
140,10.2166/ws.2013.168
141,10.2495/UW140041
142,10.1016/j.proeng.2014.02.102
143,10.1016/j.agsy.2013.10.001
144,10.1016/j.wre.2014.05.003
145,10.5751/ES-06597-190312
146,10.1061/9780784413548.109
147,10.5901/mjss.2014.v5n27p1678
148,10.5194/isprsarchives-XL-8-961-2014
149,10.1088/1755-1315/22/5/052022
150,10.1016/j.ecolind.2013.10.021
151,10.4018/978-1-4666-4852-4.ch046
152,10.1093/jjco/hyt140
153,10.2166/wp.2013.117
154,10.2166/wp.2013.022
155,10.5942/jawwa2013.105.0149
156,10.1080/09613218.2013.804764
157,10.1080/07900627.2013.826413
158,10.1680/muen.11.00033
159,10.1016/j.petrol.2013.08.023
160,10.2166/aqua.2013.059
161,10.1145/2487575.2488193
162,10.4018/978-1-4666-4329-1.ch013
163,10.2166/wp.2013.051
164,10.1061/(ASCE)HY.1943-7900.0000681
165,10.2166/wp.2012.098
166,10.5942/jawwa.2013.105.0081
167,10.1177/0956247812469926
168,10.3362/1756-3488.2013.013
169,10.2166/wp.2012.072
170,10.1080/09669582.2012.681789
171,10.1007/s11269-013-0262-y
172,10.1016/j.actaastro.2012.10.022
173,10.1007/s11269-012-0247-2
174,10.1016/j.jenvman.2012.10.029
175,10.2166/ws.2013.044
176,10.1109/AFRCON.2013.6757631
177,10.2166/ws.2013.026
178,10.1088/1755-1315/16/1/012123
179,10.2495/WRM130121
180,10.1016/j.egypro.2014.03.200
181,10.1007/s10811-012-9833-1
182,10.2166/wpt.2012.093
183,10.2166/wpt.2012.085
184,10.2166/wpt.2012.086
185,10.1109/GIWRM.2012.6349533
186,10.3188/szf.2012.0437
187,10.1016/j.scitotenv.2012.05.085
188,10.1115/GT2012-70072
189,10.1007/978-94-007-1963-7_21
190,10.1109/ECTICon.2012.6254134
191,10.1680/wama.10.00112
192,10.1016/j.rser.2012.05.019
193,10.1016/j.scitotenv.2012.05.049
194,10.1016/B978-0-444-59507-2.50090-1
195,10.1504/IJSOM.2012.047954
196,10.5343/bms.2011.1064
197,10.1007/s11269-012-0017-1
198,10.1017/S1742170511000202
199,10.3390/w4010045
200,10.1007/s11027-011-9335-5
201,10.1071/AN11123
202,10.1108/01409171211210163
203,10.2166/ws.2012.014
204,10.2166/ws.2011.116
205,10.1080/19443994.2012.669182
206,10.1016/j.petrol.2011.12.027
207,10.1007/978-1-4419-6105-1_13
208,10.1061/41202(423)106
209,10.1115/GT2011-45375
210,10.1115/ES2011-54792
211,10.1115/POWER2011-55195
212,10.1016/j.envsci.2011.05.018
213,10.2495/SDP-V6-N2-135-151
214,10.1109/RSETE.2011.5965381
215,10.1007/s10795-011-9114-1
216,10.1007/s00267-011-9647-y
217,10.1080/07900627.2010.548317
218,10.1016/j.amepre.2010.11.004
219,10.1007/s10661-010-1324-8
220,10.2495/WS110101
221,10.3390/w3030906
222,10.1016/j.enconman.2010.06.038
223,10.1109/ICNC.2010.5584585
224,10.2166/wp.2009.209
225,10.2166/wp.2010.125
226,10.1016/j.jhydrol.2010.08.006
227,10.1080/1573062X.2010.509436
228,10.1080/07900627.2010.489308
229,10.1177/0734242X10355073
230,10.1061/41114(371)435
231,10.1093/aob/mcq119
232,10.1111/j.1440-1797.2009.01255.x
233,10.1080/15730620903447621
234,10.1016/j.resconrec.2010.05.006
235,10.5004/dwt.2010.1940
236,10.18848/1833-1882/CGP/v05i06/51758
237,10.1061/41073(361)7
238,10.1080/07900620903306323
239,10.1109/PIMRC.2009.5450219
240,10.1061/41069(360)45
241,10.1016/j.foreco.2009.02.023
242,10.1061/41024(340)33
243,10.1007/s11368-009-0095-8
244,10.1007/s00267-008-9262-8
245,10.1007/s00508-008-1135-x
246,10.1007/s11269-008-9284-2
247,10.1061/40976(316)488
248,10.1007/978-1-4020-8329-7_8
249,10.1002/clen.200700204
250,10.1002/clen.200800051
251,10.1016/j.landurbplan.2008.04.010
252,10.1080/03052150801918347
253,10.1007/s10040-007-0253-2
254,10.2166/ws.2008.030
255,10.1017/S1068280500003014
256,10.1109/ICPST.2006.321935
257,10.1016/j.agwat.2007.06.011
258,10.1016/j.agwat.2007.05.008
259,10.1007/s00267-006-0307-6
260,10.1016/j.gloplacha.2007.01.002
261,10.1002/bit.21386
262,10.1080/08920750601169634
263,10.1016/j.jup.2006.10.001
264,10.1080/009083190966289
265,10.1109/IECON.2006.347943
266,10.1080/07900620600796057
267,10.1007/s10457-006-6843-5
268,10.1080/10286600600789383
269,10.1080/07900620600677810
270,10.1080/07900620600648415
271,10.1108/14777830610639468
272,10.1061/40792(173)333
273,10.1016/j.agsy.2004.09.008
274,10.1080/07900620500160735
275,10.1080/03088830410001693420
276,10.1016/j.desal.2004.06.001
277,10.2165/00126839-200405030-00007
278,10.1016/S0921-8009(02)00224-0
279,10.1002/ldr.503
280,10.1144/GSL.SP.2002.193.01.22
281,10.1016/S0011-9164(01)00242-9
282,10.1016/S0378-3774(99)00047-5
283,10.1016/S0273-1223(99)00105-5
284,10.1080/014461999371222
285,10.1017/S0922156599000394
286,10.1016/S0308-521X(98)00030-4
287,10.1006/jare.1998.0436
288,10.1016/S0956-053X(96)00109-2
289,10.1006/jema.1995.0078
290,10.1080/00137919508903158
291,10.1577/1548-8659(1986)6<494:EVOISF>2.0.CO;2
292,10.1016/0095-0696(86)90032-X
293,10.1111/j.1536-7150.1985.tb02351.x
294,10.4296/cwrj0704055
